,date,county,state,fips,cases,deaths,standardized_date
336,2020-02-27,Los Angeles,California,6037.0,0.009961045339988905,0.0,-21 days
356,2020-02-28,Los Angeles,California,6037.0,0.009961045339988905,0.0,-20 days
378,2020-02-29,Los Angeles,California,6037.0,0.009961045339988905,0.0,-19 days
401,2020-03-01,Los Angeles,California,6037.0,0.009961045339988905,0.0,-18 days
428,2020-03-02,Los Angeles,California,6037.0,0.009961045339988905,0.0,-17 days
462,2020-03-03,Los Angeles,California,6037.0,0.009961045339988905,0.0,-16 days
497,2020-03-04,Los Angeles,California,6037.0,0.06972731737992234,0.0,-15 days
536,2020-03-05,Los Angeles,California,6037.0,0.10957149873987795,0.0,-14 days
586,2020-03-06,Los Angeles,California,6037.0,0.12949358941985578,0.0,-13 days
661,2020-03-07,Los Angeles,California,6037.0,0.13945463475984468,0.0,-12 days
756,2020-03-08,Los Angeles,California,6037.0,0.13945463475984468,0.0,-11 days
870,2020-03-09,Los Angeles,California,6037.0,0.1892598614597892,0.0,-10 days
1002,2020-03-10,Los Angeles,California,6037.0,0.19922090679977814,0.0,-9 days
1168,2020-03-11,Los Angeles,California,6037.0,0.27890926951968936,1.0,-8 days
1374,2020-03-12,Los Angeles,California,6037.0,0.31875345087964496,1.0,-7 days
1634,2020-03-13,Los Angeles,California,6037.0,0.39844181359955627,1.0,-6 days
1951,2020-03-14,Los Angeles,California,6037.0,0.527935403019412,1.0,-5 days
2330,2020-03-15,Los Angeles,California,6037.0,0.6873121284592345,1.0,-4 days
2764,2020-03-16,Los Angeles,California,6037.0,0.9363382619589571,1.0,-3 days
3245,2020-03-17,Los Angeles,California,6037.0,1.4343905289584025,1.0,-2 days
3798,2020-03-18,Los Angeles,California,6037.0,1.8925986145978921,1.0,-1 days
4458,2020-03-19,Los Angeles,California,6037.0,2.301001473537437,2.0,0 days
5233,2020-03-20,Los Angeles,California,6037.0,2.9086252392767604,2.0,1 days
6154,2020-03-21,Los Angeles,California,6037.0,3.4963269143361058,4.0,2 days
7188,2020-03-22,Los Angeles,California,6037.0,4.193600088135329,5.0,3 days
8331,2020-03-23,Los Angeles,California,6037.0,5.339120302234053,7.0,4 days
9572,2020-03-24,Los Angeles,California,6037.0,6.594212015072656,11.0,5 days
10944,2020-03-25,Los Angeles,California,6037.0,7.958875226651136,13.0,6 days
12489,2020-03-26,Los Angeles,California,6037.0,12.11263113342651,21.0,7 days
14155,2020-03-27,Los Angeles,California,6037.0,14.592931423083748,27.0,8 days
15937,2020-03-28,Los Angeles,California,6037.0,17.969725793339986,33.0,9 days
17826,2020-03-29,Los Angeles,California,6037.0,21.276792846216303,37.0,10 days
19803,2020-03-30,Los Angeles,California,6037.0,24.643626171132553,44.0,11 days
21877,2020-03-31,Los Angeles,California,6037.0,29.992707518706595,54.0,12 days
24035,2020-04-01,Los Angeles,California,6037.0,35.042957506080974,65.0,13 days
26264,2020-04-02,Los Angeles,California,6037.0,40.29242840025512,78.0,14 days
28563,2020-04-03,Los Angeles,California,6037.0,45.48213302238934,89.0,15 days
30921,2020-04-04,Los Angeles,California,6037.0,52.56443625912146,117.0,16 days
33327,2020-04-05,Los Angeles,California,6037.0,59.1686093195341,132.0,17 days
35772,2020-04-06,Los Angeles,California,6037.0,63.35224836232944,147.0,18 days
38261,2020-04-07,Los Angeles,California,6037.0,68.83082329932333,169.0,19 days
40805,2020-04-08,Los Angeles,California,6037.0,75.00667141011645,198.0,20 days
43377,2020-04-09,Los Angeles,California,6037.0,79.24011567961175,223.0,21 days
