,date,county,state,fips,cases,deaths,standardized_date
287,2020-02-24,San Francisco,California,6075.0,0.3403100678464839,0.0,-21 days
303,2020-02-25,San Francisco,California,6075.0,0.3403100678464839,0.0,-20 days
322,2020-02-26,San Francisco,California,6075.0,0.3403100678464839,0.0,-19 days
342,2020-02-27,San Francisco,California,6075.0,0.3403100678464839,0.0,-18 days
362,2020-02-28,San Francisco,California,6075.0,0.3403100678464839,0.0,-17 days
384,2020-02-29,San Francisco,California,6075.0,0.3403100678464839,0.0,-16 days
407,2020-03-01,San Francisco,California,6075.0,0.3403100678464839,0.0,-15 days
435,2020-03-02,San Francisco,California,6075.0,0.3403100678464839,0.0,-14 days
469,2020-03-03,San Francisco,California,6075.0,0.3403100678464839,0.0,-13 days
504,2020-03-04,San Francisco,California,6075.0,0.3403100678464839,0.0,-12 days
543,2020-03-05,San Francisco,California,6075.0,0.5671834464108064,0.0,-11 days
593,2020-03-06,San Francisco,California,6075.0,0.5671834464108064,0.0,-10 days
670,2020-03-07,San Francisco,California,6075.0,1.2478035821037743,0.0,-9 days
765,2020-03-08,San Francisco,California,6075.0,1.2478035821037743,0.0,-8 days
879,2020-03-09,San Francisco,California,6075.0,1.8149870285145806,0.0,-7 days
1011,2020-03-10,San Francisco,California,6075.0,1.9284237177967418,0.0,-6 days
1177,2020-03-11,San Francisco,California,6075.0,1.9284237177967418,0.0,-5 days
1383,2020-03-12,San Francisco,California,6075.0,2.382170474925387,0.0,-4 days
1644,2020-03-13,San Francisco,California,6075.0,2.9493539213361935,0.0,-3 days
1961,2020-03-14,San Francisco,California,6075.0,3.5165373677469995,0.0,-2 days
2341,2020-03-15,San Francisco,California,6075.0,4.197157503439968,0.0,-1 days
2776,2020-03-16,San Francisco,California,6075.0,4.877777639132935,0.0,0 days
3258,2020-03-17,San Francisco,California,6075.0,5.218087706979419,0.0,1 days
3812,2020-03-18,San Francisco,California,6075.0,5.785271153390226,0.0,2 days
4472,2020-03-19,San Francisco,California,6075.0,8.280878317597773,0.0,3 days
5247,2020-03-20,San Francisco,California,6075.0,8.96149845329074,0.0,4 days
6168,2020-03-21,San Francisco,California,6075.0,9.528681899701548,0.0,5 days
7202,2020-03-22,San Francisco,California,6075.0,12.591472510319903,0.0,6 days
8345,2020-03-23,San Francisco,California,6075.0,15.200516363809614,0.0,7 days
9588,2020-03-24,San Francisco,California,6075.0,17.242376770888516,0.0,8 days
10960,2020-03-25,San Francisco,California,6075.0,20.532040760071194,1.0,9 days
12505,2020-03-26,San Francisco,California,6075.0,25.63669177776845,2.0,10 days
14171,2020-03-27,San Francisco,California,6075.0,31.98914637756948,3.0,11 days
15953,2020-03-28,San Francisco,California,6075.0,34.93850029890568,4.0,12 days
17842,2020-03-29,San Francisco,California,6075.0,38.90878442378132,5.0,13 days
19819,2020-03-30,San Francisco,California,6075.0,42.425321791528326,6.0,14 days
21894,2020-03-31,San Francisco,California,6075.0,45.374675712864516,6.0,15 days
24052,2020-04-01,San Francisco,California,6075.0,49.57183321630448,7.0,16 days
26281,2020-04-02,San Francisco,California,6075.0,51.046510176972575,7.0,17 days
28580,2020-04-03,San Francisco,California,6075.0,56.71834464108064,7.0,18 days
30938,2020-04-04,San Francisco,California,6075.0,60.008008630263326,8.0,19 days
33344,2020-04-05,San Francisco,California,6075.0,64.7723495801141,8.0,20 days
35789,2020-04-06,San Francisco,California,6075.0,66.47389991934652,9.0,21 days
